ID,Given_Name,Other_Names,Family_Name,Pref_Name,Honorific,Email,Job_Title,GroupID_1,GroupID_2,GroupID_3,ANZSRC_FOR_1,ANZSRC_FOR_2,ANZSRC_FOR_3,URI,NLA_Party_Identifier,ResearcherID,openID,Personal_URI,Personal_Homepage,Staff_Profile_Homepage,Description
1234,Albert,Watson,Zweinstein,Albert,Prof,albert.zweinstein@example.edu.au,Dean,2,17,,0101,0102,010501,http://id.example.edu.au/people/1234,http://nla.gov.au/nla.party-100001,http://www.researcherid.com/rid/F-1234-5678,,,http://www.zweinstein.com,http://staff.example.edu.au/Albert.Zweinstein,Prof Albert Zweinstein is a Dean at the University of Examples
1235,Jane,,Crowley,Jane,Prof,jane.crowley@example.edu.au,Dean,8,18,15,0806,0807,0899,http://id.example.edu.au/people/1235,http://nla.gov.au/nla.party-100002,http://www.researcherid.com/rid/F-1234-5679,,,http://www.crowley.com,http://staff.example.edu.au/Jane.Crowley,Prof Jane Crowley is a Dean at the University of Examples
1236,Ludo,,Smith,Ludo,Dr,ludo.smith@example.edu.au,Associate Dean of Research,8,,,0801,1901,1902,http://id.example.edu.au/people/1236,http://nla.gov.au/nla.party-100003,http://www.researcherid.com/rid/F-1234-5680,,,http://www.smith.com,http://staff.example.edu.au/Ludo.Smith,Dr Ludo Smith is a Associate Dean of Research at the University of Examples
1237,Cosmo,,Costanza,Cosmo,Mr,cosmo.costanza@example.edu.au,Lecturer,6,7,20,01301,01302,01399,http://id.example.edu.au/people/1237,http://nla.gov.au/nla.party-100004,http://www.researcherid.com/rid/F-1234-5681,,http://id.me.org/ccostanza,http://www.costanza.com,http://staff.example.edu.au/Cosmo.Costanza,Mr Cosmo Costanza is a Lecturer at the University of Examples
1238,Verity,,Vaile,Vezza,Ms,verity.vaile@example.edu.au,Researcher,19,,,1504,1505,1507,http://id.example.edu.au/people/1238,http://nla.gov.au/nla.party-100005,http://www.researcherid.com/rid/F-1234-5682,,,http://www.vaile.com,http://staff.example.edu.au/Verity.Vaile,Ms Vezza Vaile is a Researcher at the University of Examples
1239,Alberto,,Zweinstein,Alberto,Dr,alberto.zweinstein@example.edu.au,Lecturer,2,4,17,01701,01702,01799,http://id.example.edu.au/people/1239,http://nla.gov.au/nla.party-100006,http://www.researcherid.com/rid/F-1234-5683,,,http://www.zweinstein.com,http://staff.example.edu.au/Alberto.Zweinstein,Dr Alberto Zweinstein is a Lecturer at the University of Examples
1240,Albert,Wilbur,Zweinstig,Alby,Mr,albert.zweinstig@example.edu.au,Senior Lecturer,13,,,1603,1602,1601,http://id.example.edu.au/people/1240,http://nla.gov.au/nla.party-100007,http://www.researcherid.com/rid/F-1234-5684,,,http://www.zweinstig.com,http://staff.example.edu.au/Albert.Zweinstig,Mr Alby Zweinstig is a Senior Lecturer at the University of Examples
1241,Paul,,James,Batman,Dr,paul.james@example.edu.au,Head of Research Lab,19,16,,2003,2004,2005,http://id.example.edu.au/people/1241,http://nla.gov.au/nla.party-100008,http://www.researcherid.com/rid/F-1234-5685,,,http://www.james.com,http://staff.example.edu.au/Paul.James,Dr Batman James is a Head of Research Lab at the University of Examples
1242,Monique,Louise,Krupp,Monique,Mrs,monique.krupp@example.edu.au,Lecturer,9,11,,1205,1299,1202,http://id.example.edu.au/people/1242,http://nla.gov.au/nla.party-100009,http://www.researcherid.com/rid/F-1234-5686,https://plus.google.com/blahblahblah,,http://www.krupp.com,http://staff.example.edu.au/Monique.Krupp,Mrs Monique Krupp is a Lecturer at the University of Examples
1243,Drew,,,Drew,M,drew@example.edu.au,Associate Lecturer,15,16,,2201,2202,2203,http://id.example.edu.au/people/1243,http://nla.gov.au/nla.party-100010,http://www.researcherid.com/rid/F-1234-5687,https://openid.drew.com,http://drew.com,http://www.drew.com,http://staff.example.edu.au/Drew,M Drew is a Associate Lecturer at the University of Examples
